Feature,Importance
Bwd IAT Min,0.7202265
Fwd Packet Length Std,0.17461602
Fwd Packet Length Max,0.046217006
Bwd IAT Mean,0.013021499
Fwd Seg Size Min,0.012940014
Flow IAT Min,0.0088875545
Bwd Init Win Bytes,0.0039366335
Dst Port,0.0033322459
Src Port,0.003134217
FIN Flag Count,0.00204319
Fwd IAT Min,0.0017232855
Bwd Packets/s,0.0017195281
Total Bwd packets,0.0016279231
FWD Init Win Bytes,0.001097021
Down/Up Ratio,0.0006645981
Flow IAT Mean,0.0006254426
Bwd Bytes/Bulk Avg,0.00048164465
Flow Packets/s,0.00041372832
Fwd IAT Total,0.00038049568
Fwd Packet Length Mean,0.0003202602
Packet Length Max,0.00028711656
Fwd IAT Std,0.00028459102
RST Flag Count,0.0002542366
Bwd Header Length,0.0002312842
Bwd Packet Length Mean,0.00022683293
Packet Length Min,0.00018024651
Idle Mean,0.00015683332
Fwd Act Data Pkts,0.00014008507
Flow Duration,0.0001391336
Bwd Packet Length Std,0.000102748105
Fwd Packets/s,8.530669e-05
Active Min,8.252729e-05
Packet Length Variance,7.452314e-05
Flow IAT Std,5.6796012e-05
Average Packet Size,5.5405497e-05
Bwd IAT Total,4.8832728e-05
Fwd Header Length,4.79531e-05
Active Std,2.8625374e-05
Flow Bytes/s,2.3109118e-05
Total Length of Fwd Packet,2.0383985e-05
Total Fwd Packet,1.8623912e-05
Idle Min,1.2356544e-05
Subflow Fwd Bytes,1.0931204e-05
Fwd IAT Mean,1.071911e-05
Packet Length Mean,7.639824e-06
Packet Length Std,4.234551e-06
Bwd Packet Length Min,0.0
Bwd Packet Length Max,0.0
Total Length of Bwd Packet,0.0
Fwd Packet Length Min,0.0
SYN Flag Count,0.0
Fwd IAT Max,0.0
Bwd IAT Std,0.0
Bwd IAT Max,0.0
Flow IAT Max,0.0
Bwd PSH Flags,0.0
Fwd PSH Flags,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
URG Flag Count,0.0
ECE Flag Count,0.0
ACK Flag Count,0.0
Bwd Bulk Rate Avg,0.0
Bwd Packet/Bulk Avg,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
Bwd Segment Size Avg,0.0
Fwd Bytes/Bulk Avg,0.0
Fwd Segment Size Avg,0.0
CWR Flag Count,0.0
PSH Flag Count,0.0
Subflow Bwd Packets,0.0
Subflow Bwd Bytes,0.0
Subflow Fwd Packets,0.0
Active Max,0.0
Active Mean,0.0
Idle Std,0.0
Idle Max,0.0
