Feature,Importance
Src Port,0.3074502852711461
Fwd Seg Size Min,0.07692904226444357
Bwd Packet Length Std,0.03215532044535534
Bwd Packet Length Min,0.02490444801418048
Fwd Packet Length Std,0.015094444136708596
Dst Port,0.012657176092616207
Down/Up Ratio,0.008607987592089961
Bwd Init Win Bytes,0.008574752118761419
Bwd Packet Length Mean,0.007306264886722436
Bwd Segment Size Avg,0.007306264886722436
Average Packet Size,0.004359386251592512
Bwd IAT Max,0.0030410458095607275
RST Flag Count,0.002171384257464126
Bwd Packet Length Max,0.001695009139755177
Bwd Packets/s,0.0015620672464410567
Fwd Packet Length Max,0.001274026477593737
SYN Flag Count,0.0010690743920678037
Flow IAT Max,0.0010247604276297784
Packet Length Mean,0.000919514762089424
Fwd IAT Max,0.0008807400432061074
Bwd IAT Total,0.0008419653243228575
FIN Flag Count,0.0007477981498920094
Flow Packets/s,0.0006536309754611392
Fwd Packets/s,0.000620395502132598
Fwd Packet Length Min,0.0005760815376945727
Packet Length Max,0.0005650030465850442
Fwd IAT Min,0.00039328643438762967
Flow Bytes/s,0.000376668697723348
Fwd IAT Std,0.00035451171550435754
Bwd IAT Min,0.0003323547332853005
Fwd Header Length,0.0003268154877305696
Total Fwd Packet,0.00032681548773054735
Active Std,0.0003212762421757942
Fwd IAT Total,0.00027696227773776894
Packet Length Std,0.0002658837866282626
Active Max,0.0002658837866282626
Flow IAT Std,0.0002658837866282626
Bwd Bulk Rate Avg,0.00024372680440924998
Total Length of Fwd Packet,0.00021049133108073104
FWD Init Win Bytes,0.0001495596299784241
Fwd Act Data Pkts,0.00014402038442362652
Bwd Header Length,0.0001329418933141202
Bwd Packet/Bulk Avg,0.00012186340220461389
Subflow Fwd Bytes,0.00012186340220461389
Total Bwd packets,0.00011078491109510758
Fwd Packet Length Mean,9.970641998557905e-05
Fwd Segment Size Avg,9.970641998557905e-05
Bwd Bytes/Bulk Avg,7.201019221179106e-05
Subflow Bwd Bytes,6.64709466570379e-05
Total Length of Bwd Packet,6.64709466570379e-05
Packet Length Variance,6.093170110228474e-05
Subflow Bwd Packets,6.093170110228474e-05
Packet Length Min,5.539245554755379e-05
ACK Flag Count,4.985320999277843e-05
Flow IAT Mean,4.431396443804747e-05
Flow Duration,3.323547332854115e-05
Flow IAT Min,2.2156982219012632e-05
Active Min,1.6617736664259473e-05
Fwd PSH Flags,2.2204460492503132e-17
Bwd PSH Flags,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
ECE Flag Count,0.0
Fwd Bytes/Bulk Avg,0.0
URG Flag Count,0.0
PSH Flag Count,0.0
CWR Flag Count,0.0
Fwd IAT Mean,-5.539245554753158e-06
Subflow Fwd Packets,-1.1078491109506316e-05
Idle Std,-1.1078491109506316e-05
Active Mean,-2.2156982219012632e-05
Idle Mean,-2.769622777376579e-05
Idle Min,-2.7696227773787997e-05
Idle Max,-4.4313964438025265e-05
Bwd IAT Std,-0.00011632415664988293
Bwd IAT Mean,-0.0002825015232925221
