Feature,Importance
Fwd Packet Length Std,0.1326611142776888
Bwd IAT Min,0.12575017734056365
Fwd Segment Size Avg,0.0842722271029779
Fwd Packet Length Mean,0.07496981747847985
Bwd Packet Length Std,0.06287212207038573
PSH Flag Count,0.0526653909714946
Total Length of Fwd Packet,0.0516814320700358
Bwd IAT Mean,0.04375872881175246
Packet Length Max,0.043561564163799124
Fwd Packet Length Max,0.03818352053282721
FWD Init Win Bytes,0.03647916750969886
Packet Length Variance,0.035850175149429
Packet Length Std,0.026406452978854914
Src Port,0.022709883495145897
Total Length of Bwd Packet,0.019206121856915444
ACK Flag Count,0.01732975593851123
Bwd Packet Length Max,0.012523803296586544
Bwd Segment Size Avg,0.012378816112782482
Fwd Seg Size Min,0.010165654157652564
Average Packet Size,0.009707259722483904
Bwd Header Length,0.00932356491643344
Bwd IAT Max,0.008788429950724166
Packet Length Mean,0.00870183417607045
Bwd IAT Total,0.008397911438695472
Fwd PSH Flags,0.007705482464702993
Down/Up Ratio,0.007246447013643945
Bwd Bytes/Bulk Avg,0.006906069677566332
Bwd Packet/Bulk Avg,0.0050011635647830245
Bwd Init Win Bytes,0.0034506238064308183
Dst Port,0.002831226604814602
Fwd IAT Min,0.002741157262664705
Bwd Packet Length Mean,0.0026208744570802188
Bwd Bulk Rate Avg,0.002333070334813178
Fwd Header Length,0.0012092455447531094
Total Bwd packets,0.000754388936889333
Fwd IAT Mean,0.0007010480109987146
Flow IAT Mean,0.0006511160179893707
Bwd Packets/s,0.0006500188263521572
Fwd Packets/s,0.000605267662620916
Flow IAT Min,0.0005794058788730777
Fwd IAT Std,0.0005291455638325426
Flow Bytes/s,0.00043782419808317846
SYN Flag Count,0.00038864843817111133
Subflow Bwd Packets,0.0003848448020655512
Fwd IAT Total,0.00036386199469022753
Flow Packets/s,0.0003411559663423192
Subflow Fwd Bytes,0.0003089401532689841
Flow IAT Std,0.0003052716970143872
Flow Duration,0.00028646360057274137
Fwd IAT Max,0.0002720759795169744
Flow IAT Max,0.00022876568087496217
Total Fwd Packet,0.0002209785201749801
Packet Length Min,0.00021597046300241512
Bwd IAT Std,0.00020290183246964616
Fwd Act Data Pkts,0.00016628443691412117
Subflow Fwd Packets,0.00015643153136136136
Subflow Bwd Bytes,0.0001442458753674645
RST Flag Count,0.00011825860419786666
Bwd Packet Length Min,9.762824265596194e-05
Idle Mean,9.047521092277319e-05
Idle Max,8.949142728805932e-05
FIN Flag Count,7.004603006002976e-05
Active Max,5.280942297358666e-05
Active Mean,4.587742257009753e-05
Active Min,4.178553800290898e-05
Fwd Packet Length Min,3.659119684393899e-05
Idle Min,3.585704898015739e-05
Idle Std,2.8563220705088324e-05
Active Std,7.274316110500459e-06
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
ECE Flag Count,0.0
URG Flag Count,0.0
Fwd Bytes/Bulk Avg,0.0
CWR Flag Count,0.0
