Feature,Importance
ACK Flag Count,0.1932582830923545
Packet Length Max,0.17458144373899595
Fwd Packet Length Std,0.1418577602304861
Bwd Packet Length Std,0.08829109534226116
Src Port,0.059426986074801305
Dst Port,0.05206210318518918
Active Min,0.04855999573173988
Packet Length Std,0.03325401483220405
Fwd Packet Length Max,0.025701328495971863
SYN Flag Count,0.02224297070906476
Bwd Packet Length Max,0.022093581603798772
Flow Packets/s,0.02154190897935231
Down/Up Ratio,0.013029931174305088
Fwd Packets/s,0.012119724697220335
Idle Mean,0.01109534226111084
Bwd Packets/s,0.008006188977218187
Packet Length Mean,0.007649789254655093
Average Packet Size,0.006474950648242039
Bwd Packet Length Mean,0.005906204983193763
Bwd Segment Size Avg,0.005906204983193763
Bwd IAT Mean,0.005140052286186858
Fwd IAT Std,0.004412313930534095
Fwd IAT Total,0.00431627807714885
Flow IAT Max,0.004100730939550812
Flow Duration,0.00409539561436274
Fwd IAT Mean,0.004030304647068284
Bwd IAT Max,0.004003628021127925
Flow IAT Std,0.00384783652563625
Bwd IAT Std,0.0037646054527023854
Idle Min,0.0036333564530758532
Fwd IAT Max,0.0032001280478045624
Packet Length Min,0.0027818385530598453
Idle Max,0.0021351971402657098
Bwd IAT Total,0.0019516619537961245
Fwd Packet Length Min,0.0018641626207117623
Fwd Packet Length Mean,0.0016763591740916795
Fwd Segment Size Avg,0.0016763591740916795
Flow Bytes/s,0.0013541055327322526
Packet Length Variance,0.0010297177612976105
FIN Flag Count,0.0009518220135517508
Bwd Header Length,0.0007426772661794257
Bwd Init Win Bytes,0.0005975564210639161
Flow IAT Mean,0.0004940511124153391
Total Bwd packets,0.00042896014512086025
Subflow Bwd Packets,0.00042896014512086025
Fwd Act Data Pkts,0.0004012164541429053
Flow IAT Min,0.0003329242917356146
Idle Std,0.00032438777143468657
Subflow Bwd Bytes,0.0002432908285760371
RST Flag Count,0.00020380942218429788
Fwd IAT Min,0.00016859627594305592
Subflow Fwd Packets,0.0001653950808302218
Total Fwd Packet,0.0001653950808302218
Total Length of Bwd Packet,0.00015579149549169725
Bwd Packet Length Min,0.00013551725977702933
Active Std,0.0001280478045137201
Active Max,8.109694285869384e-05
Total Length of Fwd Packet,5.868857706881059e-05
Subflow Fwd Bytes,5.868857706881059e-05
Bwd URG Flags,5.015205676790479e-05
URG Flag Count,5.015205676790479e-05
Bwd IAT Min,2.2408365789927664e-05
Fwd Header Length,2.2408365789927664e-05
ECE Flag Count,5.335325188093876e-06
CWR Flag Count,5.335325188093876e-06
Fwd PSH Flags,0.0
Fwd Packet/Bulk Avg,0.0
Fwd URG Flags,0.0
Fwd Bulk Rate Avg,0.0
Fwd Bytes/Bulk Avg,0.0
Fwd Seg Size Min,0.0
Bwd Bulk Rate Avg,0.0
Bwd Bytes/Bulk Avg,0.0
Bwd Packet/Bulk Avg,0.0
FWD Init Win Bytes,0.0
Bwd PSH Flags,-9.603585338502363e-06
PSH Flag Count,-9.603585338502363e-06
Active Mean,-4.801792669260063e-05
