Feature,Importance
Bwd Init Win Bytes,0.12532443211902639
Bwd IAT Min,0.12219685804310162
Fwd Packets/s,0.0888791338804634
Fwd Header Length,0.06954251545323863
Subflow Fwd Packets,0.06770858163536451
Total Fwd Packet,0.03698715730713159
Dst Port,0.030395479372092107
Bwd IAT Total,0.028457801899200733
Src Port,0.026632585890246394
Bwd IAT Mean,0.021121008474655662
Bwd Header Length,0.020727659434500445
Flow IAT Min,0.0202913504275617
Down/Up Ratio,0.016401866703732514
Bwd IAT Max,0.015218564334275203
Flow Packets/s,0.015110116095854114
Total Bwd packets,0.014790229306218478
Bwd Packet Length Max,0.014257370308097445
Bwd Packet Length Mean,0.013610034463422769
Flow Bytes/s,0.013550095607806692
Flow IAT Max,0.011699296267650528
Total Length of Bwd Packet,0.011659572426749506
Bwd Packets/s,0.01121171329728306
Fwd IAT Mean,0.011206828699506689
Flow IAT Std,0.0111309210726475
ACK Flag Count,0.011024232644439826
Flow Duration,0.010960639947393852
Fwd IAT Max,0.010707140353141796
Flow IAT Mean,0.010520456682997148
SYN Flag Count,0.010445027872114779
Fwd IAT Total,0.009939696185327062
FIN Flag Count,0.008522002018005842
Fwd Packet Length Max,0.008055349045364958
Subflow Bwd Bytes,0.00777795528614476
Bwd Segment Size Avg,0.0070520548195612326
Bwd Packet Length Std,0.0065215723003605045
Bwd IAT Std,0.006451107363651734
Fwd Packet Length Std,0.006093613665410762
Average Packet Size,0.005890192764357297
Subflow Bwd Packets,0.005836372327572547
Active Min,0.004574080628020289
Packet Length Max,0.004386406215827606
Fwd IAT Std,0.004362657279919704
Fwd IAT Min,0.004219318676693105
Packet Length Mean,0.004203639315236872
Idle Min,0.0030094435562924983
Idle Mean,0.00293440709163521
Packet Length Min,0.0029128962904608215
Active Mean,0.002658641581798762
Fwd Packet Length Mean,0.0026339780156035882
Fwd Segment Size Avg,0.002353393296189868
Packet Length Variance,0.0021925744530951166
Idle Max,0.002189695403688159
Bwd Packet Length Min,0.0021500206719230115
Total Length of Fwd Packet,0.0019852648104263207
Packet Length Std,0.001981103482672676
Subflow Fwd Bytes,0.0019676389498342927
Active Max,0.0017904775506761461
Fwd Act Data Pkts,0.001611853302414443
Fwd Packet Length Min,0.0008665256095462798
RST Flag Count,0.00032638559271701436
Idle Std,0.00021146927686697598
Bwd PSH Flags,0.00019165452953676758
PSH Flag Count,0.00018445902855772738
Active Std,0.00018004684913151651
URG Flag Count,7.946064828987081e-06
Bwd URG Flags,3.959889435542392e-06
ECE Flag Count,1.476791298779725e-06
Fwd PSH Flags,0.0
Fwd URG Flags,0.0
CWR Flag Count,0.0
Bwd Bulk Rate Avg,0.0
Bwd Packet/Bulk Avg,0.0
Bwd Bytes/Bulk Avg,0.0
Fwd Bulk Rate Avg,0.0
Fwd Packet/Bulk Avg,0.0
Fwd Bytes/Bulk Avg,0.0
Fwd Seg Size Min,0.0
FWD Init Win Bytes,0.0
